URL;type ;type2;type3;source
daily-sun.com;Fake news;;;1
dailysurge.com;Fake news;;;1
dailythings.world;Fake news;;;1
dailyusaupdate.com;Fake news;;;1
dailywire.com;Fake news;;;1
dailyworldupdate.com;Fake news;;;1
dallastimes.us;Fake news;;;1
damnleaks.com;Fake news;;;1
davidwolfe.com;Fake news;;;1
dcclothesline.com;Fake news;;;1
defenseusa.club;Fake news;;;1
defund.com;Fake news;;;1
democraticmoms.com;Fake news;;;1
democraticunderground.com;Fake news;;;1
dennismichaellynch.com;Fake news;;;1
denverguardian.com;Fake news;;;1
denverinquirer.com;Fake news;;;1
departed.co;Fake news;;;1
departedme.com;Fake news;;;1
departedmedia.com;Fake news;;;1
dineal.com;Fake news;;;1
disclose.tv;Fake news;;;1
diyhours.net;Fake news;;;1
donaldtrumpnews.co;Fake news;;;1
donaldtrumppotus45.com;Fake news;;;1
downtrend.com;Fake news;;;1
drugsofficial.com;Fake news;;;1
dublintribune.com;Fake news;;;1
duffelblog.com;Fake news;;;1
eaglerising.com;Fake news;;;1
embols.com;Fake news;;;1
empireherald.com;Fake news;;;1
empirenews.net;Fake news;;;1
empiresports.co;Fake news;;;1
en.mediamass.net;Fake news;;;1
en-bref.fr;Fake news;;;1
endingthefed.com;Fake news;;;1
endoftheamericandream.com;Fake news;;;1
endtimeheadlines.org;Fake news;;;1
enhlive.com;Fake news;;;1
en-volve.com;Fake news;;;1
eutimes.net;Fake news;;;1
everydaybreakingnews.com;Fake news;;;1
everynewshere.com;Fake news;;;1
express.co.uk;Fake news;;;1
factrider.com;Fake news;;;1
famousviralstories.com;Fake news;;;1
fanzinger.com;Fake news;;;1
federalistnation.com;Fake news;;;1
federalisttribune.com;Fake news;;;1
fedsalert.com;Fake news;;;1
fellowshipoftheminds.com;Fake news;;;1
firstpost.com;Fake news;;;1
flashinfo.org;Fake news;;;1
flashnewscorner.com;Fake news;;;1
floridasunpost.com;Fake news;;;1
focusnews.info;Fake news;;;1
folksvideo.com;Fake news;;;1
forfreedomworld.com;Fake news;;;1
fox-news24.com;Fake news;;;1
france.actualites.co;Fake news;;;1
freddymag.com;Fake news;;;1
freedomcrossroads.us;Fake news;;;1
freedomdaily.com;Fake news;;;1
freedomjunkshun.com;Fake news;;;1
freedomsfinalstand.com;Fake news;;;1
freeinfomedia.com;Fake news;;;1
freeinquirer.com;Fake news;;;1
freerepublic.com;Fake news;;;1
freewoodpost.com;Fake news;;;1
freshdailyreport.com;Fake news;;;1
friendsofsyria.wordpress.com;Fake news;;;1
frontpagemag.com;Fake news;;;1
fury.news;Fake news;;;1
getoffthebs.com;Fake news;;;1
givemeliberty01.com;Fake news;;;1
globalassociatednews.com;Fake news;;;1
globalpoliticsnow.com;Fake news;;;1
globalrevolutionnetwork.com;Fake news;;;1
gopthedailydose.com;Fake news;;;1
gotnews.com;Fake news;;;1
greenvillegazette.com;Fake news;;;1
guerilla.news;Fake news;;;1
guerillanews.com;Fake news;;;1
gummypost.com;Fake news;;;1
halfwaypost.com;Fake news;;;1
halturnershow.com;Fake news;;;1
headlinebrief.com;Fake news;;;1
healthnutnews.com;Fake news;;;1
healthycareandbeauty.com;Fake news;;;1
healthyworldhouse.com;Fake news;;;1
heatst.com;Fake news;;;1
heaviermetal.net;Fake news;;;1
heightpost.com;Fake news;;;1
higherperspectives.com;Fake news;;;1
hotglobalnews.com;Fake news;;;1
houstonchronicle-tv.com;Fake news;;;1
houstonleader.com;Fake news;;;1
huzlers.com;Fake news;;;1
ideaspots.com;Fake news;;;1
ihavethetruth.com;Fake news;;;1
ijr.com;Fake news;;;1
ilovemyfreedom.org;Fake news;;;1
ilovenativeamericans.us;Fake news;;;1
impulsetoday.com;Fake news;;;1
independentminute.com;Fake news;;;1
infowars.com;Fake news;;;1
inquisitr.com;Fake news;;;1
interestingdailynews.com;Fake news;;;1
intrendtoday.com;Fake news;;;1
iotwreport.com;Fake news;;;1
ipatriot.com;Fake news;;;1
isthatlegit.com;Fake news;;;1
jacksontelegraph.com;Fake news;;;1
jewsnews.co.il;Fake news;;;1
joeforamerica.com;Fake news;;;1
jokerviral.com;Fake news;;;1
jookos.com;Fake news;;;1
journaldemourreal.com;Fake news;;;1
judicialwatch.org;Fake news;;;1
kata33.com;Fake news;;;1
kbc14.com;Fake news;;;1
kcst7.com;Fake news;;;1
kf13.com;Fake news;;;1
klponews.com;Fake news;;;1
km8news.com;Fake news;;;1
kmt11.com;Fake news;;;1
knp7.com;Fake news;;;1
konkonsagh.biz;Fake news;;;1
krb7.com;Fake news;;;1
krbcnews.com;Fake news;;;1
kspm33.com;Fake news;;;1
kty24news.com;Fake news;;;1
kupr7.com;Fake news;;;1
ky12news.com;Fake news;;;1
ky6news.com;Fake news;;;1
kypo6.com;Fake news;;;1
ladiesofliberty.net;Fake news;;;1
ladylibertysnews.com;Fake news;;;1
landrypost.com;Fake news;;;1
lastdeplorables.com;Fake news;;;1
learnprogress.org;Fake news;;;1
liberalplug.com;Fake news;;;1
libertyalliance.com;Fake news;;;1
liberty-courier.com;Fake news;;;1
libertywritersnews.com;Fake news;;;1
local31news.com;Fake news;;;1
localnews33.com;Fake news;;;1
londonwebnews.com;Fake news;;;1
lopezreport.com;Fake news;;;1
louderwithcrowder.com;Fake news;;;1
macedoniaonline.eu;Fake news;;;1
madworldnews.com;Fake news;;;1
mainerepublicemailalert.com;Fake news;;;1
majorthoughts.com;Fake news;;;1
maywoodpost.com;Fake news;;;1
mbynews.com;Fake news;;;1
mckenziepost.com;Fake news;;;1
mediamass.net;Fake news;;;1
mediamaxzone.com;Fake news;;;1
mediazone.news;Fake news;;;1
medicalkidnap.com;Fake news;;;1
mentor2day.com;Fake news;;;1
metropolitanworlds.com;Fake news;;;1
mississippiherald.com;Fake news;;;1
morning-herald.com;Fake news;;;1
morningnewsusa.com;Fake news;;;1
mrnewswatch.com;Fake news;;;1
msfanpage.link;Fake news;;;1
msnbc.website;Fake news;;;1
myfreshnews.com;Fake news;;;1
nachrichten.de.com;Fake news;;;1
nachrichten365.com;Fake news;;;1
nation.com.pk;Fake news;;;1
nationalinsiderpolitics.com;Fake news;;;1
nationalreport.net;Fake news;;;1
nativeamericans.us;Fake news;;;1
nativestuff.us;Fake news;;;1
naturalnews.com;Fake news;;;1
nbc.com.co;Fake news;;;1
ncscooper.com;Fake news;;;1
neonnettle.com;Fake news;;;1
nephef.com;Fake news;;;1
net-infosnews.com;Fake news;;;1
nevo.news;Fake news;;;1
newcenturytimes.com;Fake news;;;1
newjournal.us;Fake news;;;1
newpoliticstoday.com;Fake news;;;1
news14kgpn.com;Fake news;;;1
news14now.com;Fake news;;;1
news4ktla.com;Fake news;;;1
newsbiscuit.com;Fake news;;;1
newsbreakhere.com;Fake news;;;1
newsbreakingspipe.com;Fake news;;;1
newsbreakshere.com;Fake news;;;1
newsbuzzdaily.com;Fake news;;;1
newsbysquad.com;Fake news;;;1
newsconservative.com;Fake news;;;1
newsdaily10.com;Fake news;;;1
newsdaily12.com;Fake news;;;1
newsdaily27.com;Fake news;;;1
newsexaminer.net;Fake news;;;1
newsfeedhunter.com;Fake news;;;1
newsfeedobserver.com;Fake news;;;1
newsformetoday.com;Fake news;;;1
newshubs.info;Fake news;;;1
newsjustforyou1.blogspot.com;Fake news;;;1
newsleak.co;Fake news;;;1
newslo.com;Fake news;;;1
newsnow17.com;Fake news;;;1
newsoftrump.com;Fake news;;;1
newsphd.com;Fake news;;;1
newspunch.com;Fake news;;;1
newsrescue.com;Fake news;;;1
newsuptoday.com;Fake news;;;1
newswatch33.com;Fake news;;;1
newzmagazine.com;Fake news;;;1
nnettle.com;Fake news;;;1
notallowedto.com;Fake news;;;1
noticias365.info;Fake news;;;1
noticias-frescas.com;Fake news;;;1
notizzia.com;Fake news;;;1
now8news.com;Fake news;;;1
nowtheendbegins.com;Fake news;;;1
nunadisbereel.com;Fake news;;;1
nydailynews-tv.com;Fake news;;;1
nymeta.co;Fake news;;;1
observatorial.com;Fake news;;;1
observeronline.news;Fake news;;;1
occupydemocrats.com;Fake news;;;1
onepoliticalplaza.com;Fake news;;;1
onlysimchas.com;Fake news;;;1
openmagazines.com;Fake news;;;1
oreillypost.com;Fake news;;;1
ourlandofthefree.com;Fake news;;;1
palmerreport.com;Fake news;;;1
pamelageller.com;Fake news;;;1
paris.actualites.co;Fake news;;;1
patriotcrier.com;Fake news;;;1
patriothangout.com;Fake news;;;1
patriotusa.website;Fake news;;;1
persecutes.com;Fake news;;;1
politicalmayhem.news;Fake news;;;1
politicalo.com;Fake news;;;1
politicass.com;Fake news;;;1
politicono.com;Fake news;;;1
politicops.com;Fake news;;;1
politicot.com;Fake news;;;1
politicspaper.com;Fake news;;;1
politicsusanews.com;Fake news;;;1
positivedaily.com;Fake news;;;1
postcard.news;Fake news;;;1
potatriotpost.com;Fake news;;;1
powderedwigsociety.com;Fake news;;;1
powerdaily.us;Fake news;;;1
president45donaldtrump.com;Fake news;;;1
pressunion.org;Fake news;;;1
prntly.com;Fake news;;;1
proudcons.com;Fake news;;;1
proudleader.com;Fake news;;;1
puppetstringnews.com;Fake news;;;1
qpolitical.com;Fake news;;;1
qualitysharing.com;Fake news;;;1
react365.com;Fake news;;;1
readconservatives.news;Fake news;;;1
reaganwasright.com;Fake news;;;1
realnewsrightnow.com;Fake news;;;1
rearfront.com;Fake news;;;1
redcountry.us;Fake news;;;1
redflagnews.com;Fake news;;;1
redinfo.us;Fake news;;;1
redpolitics.us;Fake news;;;1
redrocktribune.com;Fake news;;;1
redstatewatcher.com;Fake news;;;1
reflectionofmind.org;Fake news;;;1
regated.com;Fake news;;;1
religionlo.com;Fake news;;;1
religionmind.com;Fake news;;;1
religiousmind.com;Fake news;;;1
revolutions2040.com;Fake news;;;1
rickwells.us;Fake news;;;1
rightsidenews.com;Fake news;;;1
rightwingnews.com;Fake news;;;1
rilenews.com;Fake news;;;1
rogue-nation3.com;Fake news;;;1
rumorjournal.com;Fake news;;;1
satiratribune.com;Fake news;;;1
scaryhours.com;Fake news;;;1
scrapetv.com;Fake news;;;1
shariaunveiled.wordpress.com;Fake news;;;1
smag31.com;Fake news;;;1
smhwtfnews.com;Fake news;;;1
snoopack.com;Fake news;;;1
socialeverythings.com;Fake news;;;1
sourceplanet.net;Fake news;;;1
southernconservativeextra.com;Fake news;;;1
spinzon.com;Fake news;;;1
statenation.co;Fake news;;;1
stateofthenation2012.com;Fake news;;;1
states-tv.com;Fake news;;;1
stgeorgegazette.com;Fake news;;;1
stillnessinthestorm.com;Fake news;;;1
straightstoned.com;Fake news;;;1
stuppid.com;Fake news;;;1
success-street.com;Fake news;;;1
sundayinquirer.com;Fake news;;;1
sundaypost.org;Fake news;;;1
superstation95.com;Fake news;;;1
supremepatriot.com;Fake news;;;1
surreytelegraph.com;Fake news;;;1
sydneybulletin.com;Fake news;;;1
tdnewswire.com;Fake news;;;1
tdtalliance.com;Fake news;;;1
teaparty.org;Fake news;;;1
teddystick.com;Fake news;;;1
telegraphsun.com;Fake news;;;1
teoinfo.com;Fake news;;;1
thatviralfeed.net;Fake news;;;1
theavocadonews.com;Fake news;;;1
thebigriddle.com;Fake news;;;1
thebostontribune.com;Fake news;;;1
thebreakingnews.co;Fake news;;;1
theconservativetreehouse.com;Fake news;;;1
theeventchronicle.com;Fake news;;;1
theexaminer.site;Fake news;;;1
thefederalistpapers.org;Fake news;;;1
thefreepatriot.org;Fake news;;;1
thefrt.com;Fake news;;;1
thegatewaypundit.com;Fake news;;;1
the-global-news.com;Fake news;;;1
thehornnews.com;Fake news;;;1
the-insider.co;Fake news;;;1
theinternationalreporter.org;Fake news;;;1
theinternetpost.net;Fake news;;;1
thelastamericanvagabond.com;Fake news;;;1
thelastlineofdefense.online;Fake news;;;1
thelastlineofdefense.org;Fake news;;;1
themiamigazette.com;Fake news;;;1
themindunleashed.com;Fake news;;;1
themoralofthestory.us;Fake news;;;1
thenationalmarijuananews.com;Fake news;;;1
thenationalpatriot.com;Fake news;;;1
thenationalsun.com;Fake news;;;1
thenet24h.com;Fake news;;;1
thenewsclub.info;Fake news;;;1
thenewsnerd.com;Fake news;;;1
thenewyorkevening.com;Fake news;;;1
thenochill.com;Fake news;;;1
thepeoplescube.com;Fake news;;;1
thepoliticalinsider.com;Fake news;;;1
thepoliticaltribune.com;Fake news;;;1
the-postillon.com;Fake news;;;1
thepremiumnews.com;Fake news;;;1
